2020-07-24,9406.606
2020-07-25,9385.574
2020-07-26,9434.355
2020-07-27,9536.311
2020-07-28,9977.965
2020-07-29,10127.833
2020-07-30,10389.498
2020-07-31,10462.976
2020-08-01,10627.18
2020-08-02,10865.144
2020-08-03,10816.976
2020-08-04,10998.653
2020-08-05,11109.479
2020-08-06,11411.214
2020-08-07,11604.443
2020-08-08,11683.616
2020-08-09,11835.625
2020-08-10,11866.212
2020-08-11,11911.024
2020-08-12,11705.885
2020-08-13,11660.758
2020-08-14,11525.799
2020-08-15,11402.354
2020-08-16,11310.094
2020-08-17,11217.322
2020-08-18,11248.636
2020-08-19,11159.622
2020-08-20,11046.613
2020-08-21,11016.805
2020-08-22,10856.241
2020-08-23,10839.358
2020-08-24,10817.232
2020-08-25,10834.656
2020-08-26,10706.13
2020-08-27,10791.889
2020-08-28,10773.544
2020-08-29,10910.536
2020-08-30,11003.974
2020-08-31,11171.261
2020-09-01,11261.617
2020-09-02,11444.009
2020-09-03,11364.069
2020-09-04,11000.619
2020-09-05,10952.979
2020-09-06,10738.002
2020-09-07,10714.125
2020-09-08,10641.098
2020-09-09,10535.468
2020-09-10,10550.566
2020-09-11,10517.138
2020-09-12,10445.447
2020-09-13,10362.207
2020-09-14,10202.19
2020-09-15,10218.542
2020-09-16,10253.833
2020-09-17,10332.114
2020-09-18,10386.511
2020-09-19,10480.377
2020-09-20,10642.104
2020-09-21,10715.433
2020-09-22,10684.861
2020-09-23,10780.63
2020-09-24,10673.261
2020-09-25,10725.684
2020-09-26,10587.054
2020-09-27,10514.289
2020-09-28,10377.318
2020-09-29,10262.638
2020-09-30,10239.749
2020-10-01,10210.578
2020-10-02,10163.726
2020-10-03,10138.957
2020-10-04,10179.009
2020-10-05,10235.257
2020-10-06,10300.068
2020-10-07,10298.106
2020-10-08,10369.686
2020-10-09,10474.486
2020-10-10,10602.829
2020-10-11,10796.758
2020-10-12,10906.377
2020-10-13,11037.51
2020-10-14,11109.545
2020-10-15,11217.816
2020-10-16,11267.632
2020-10-17,11242.478
2020-10-18,11259.311
2020-10-19,11256.968
2020-10-20,11277.944
2020-10-21,11339.861
2020-10-22,11639.526
2020-10-23,11788.605
2020-10-24,11886.957
2020-10-25,11985.44
2020-10-26,12009.484
2020-10-27,12047.961
2020-10-28,12254.297
2020-10-29,12192.877
2020-10-30,12216.514
2020-10-31,12182.916
